background_id,variant,baseline_horizon_days,baseline_Q,baseline_window,baseline_average_utilization,baseline_weighted_utilization,baseline_n_seeds,horizon_only_horizon_days,horizon_only_Q,horizon_only_window,horizon_only_average_utilization,horizon_only_weighted_utilization,horizon_only_n_seeds,reservation_only_horizon_days,reservation_only_Q,reservation_only_window,reservation_only_average_utilization,reservation_only_weighted_utilization,reservation_only_n_seeds,both_flexible_horizon_days,both_flexible_Q,both_flexible_window,both_flexible_average_utilization,both_flexible_weighted_utilization,both_flexible_n_seeds,horizon_days,rho,class1_share,slots_per_day,noshow_threshold_1,noshow_threshold_2
BG00001,strict,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0.8,0.1,30,4,4
BG00002,strict,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,11,1,0.7258538812785388,0.9017358697858805,10,2,11,1,0.7258538812785388,0.9017358697858805,10,2,0.8,0.5,30,4,4
BG00003,strict,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,21,1,0.7206210045662098,0.9034612162326262,10,2,21,1,0.7206210045662098,0.9034612162326262,10,2,0.8,0.9,30,4,4
BG00004,strict,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,11,2,0.8661369863013707,0.6715115675912645,10,2,11,2,0.8661369863013707,0.6715115675912645,10,2,3.0,0.1,30,4,4
BG00005,strict,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,30,2,0.9499999999999984,0.42179604928781034,10,2,30,2,0.9499999999999984,0.42179604928781034,10,2,3.0,0.5,30,4,4
BG00006,strict,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,3.0,0.9,30,4,4
BG00007,strict,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0.8,0.1,20,4,4
BG00008,strict,2,0,-1,0.8931050228310499,0.7308142235562585,10,6,0,-1,0.8922100456621,0.7322942977101252,10,2,4,2,0.8768401826484024,0.7425927932444549,10,2,4,2,0.8768401826484024,0.7425927932444549,10,2,1.2,0.1,30,14,20
BG00009,strict,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,6,1,0.8101041095890412,0.2670498630245599,10,2,6,1,0.8101041095890412,0.2670498630245599,10,2,3.0,0.9,50,14,7
BG00010,strict,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,5,1,0.6649479452054792,0.7102111239471688,10,2,5,1,0.6649479452054792,0.7102111239471688,10,2,0.8,0.1,50,22,14
